,commute_transit,near_by_grocery_stores,tenancy_property_type_owned,household_compo_singlefamily,criminal_records,condo_price,total_sqft,bedrooms,bath,parking,age_of_building,toronto_region,index
27,25,2,82,71,4,749000,1145,2,1,1,32.0,Scarborough,27
99,48,7,69,50,18,699000,650,2,1,1,23.0,North York,99
104,35,2,84,76,48,699990,1099,2,1,1,17.0,Scarborough,104
216,34,5,48,35,124,769900,645,2,1,1,10.0,Downtown,216
233,34,5,47,34,132,799000,969,2,1,1,21.0,Downtown,233
252,30,4,55,37,82,698000,841,2,1,1,19.0,Downtown,252
447,42,1,59,68,10,699900,784,2,1,1,7.0,North York,447
513,28,5,32,30,134,679900,749,2,1,1,22.0,Downtown,513
540,30,6,51,38,74,699900,849,2,1,1,34.0,Downtown,540
664,30,6,51,39,70,679000,796,2,1,1,35.0,Downtown,664
722,27,5,57,29,170,869000,884,2,1,1,19.0,Downtown,722
724,55,4,54,53,8,699000,725,2,1,1,12.0,North York,724
840,37,12,28,27,70,638000,859,2,1,1,30.8,Downtown,840
845,43,8,26,33,46,939900,749,2,1,1,8.0,Downtown,845
850,55,4,54,53,8,739000,720,2,1,1,12.0,North York,850
855,31,3,64,58,12,649000,602,2,1,1,17.0,Scarborough,855
994,50,4,63,50,6,749000,701,2,1,1,14.0,North York,994
1063,43,6,52,35,48,779000,749,2,1,1,7.0,Downtown,1063
1071,37,4,37,40,116,999000,831,2,1,1,11.0,Downtown,1071
1131,41,6,51,35,54,775000,771,2,1,1,10.0,Downtown,1131
1152,46,2,58,52,20,788888,774,2,1,1,16.0,North York,1152
1175,48,7,70,50,16,649000,669,2,1,1,19.0,North York,1175
1177,27,6,41,28,116,910000,696,2,1,1,11.0,Downtown,1177
1197,43,8,26,33,46,899900,781,2,1,1,8.0,Downtown,1197
1322,35,2,73,48,18,659000,662,2,1,1,12.0,Scarborough,1322
1355,27,4,61,29,162,839000,764,2,1,1,9.0,Downtown,1355
1468,28,8,36,30,104,898000,753,2,1,1,7.0,Downtown,1468
1514,30,4,55,37,82,799000,871,2,1,1,19.0,Downtown,1514
1636,48,4,62,51,8,799000,739,2,1,1,13.0,North York,1636
1680,19,1,75,68,24,724900,849,2,1,1,14.3,North York,1680
1718,34,7,22,30,130,699000,569,2,1,1,10.9,Downtown,1718
1827,56,0,26,61,42,628800,912,2,1,1,26.0,North York,1827
1852,29,6,51,38,62,865000,668,2,1,1,6.0,Downtown,1852
1854,28,4,50,39,66,839500,690,2,1,1,14.0,Downtown,1854
1941,43,8,26,33,46,950000,734,2,1,1,8.0,Downtown,1941
1984,24,2,64,72,46,629000,580,2,1,1,13.0,North York,1984
2068,38,6,49,36,66,688888,688,2,1,1,13.0,Downtown,2068
2108,42,8,25,32,36,938000,641,2,1,1,5.0,Downtown,2108
2162,41,3,56,53,4,649000,789,2,1,1,12.0,North York,2162
2168,30,6,51,39,70,759000,795,2,1,1,35.0,Downtown,2168
2169,30,2,54,32,154,995000,801,2,1,1,7.0,Downtown,2169
2199,39,6,51,35,58,789000,749,2,1,1,7.0,Downtown,2199
2403,39,5,69,36,52,850000,853,2,1,1,21.0,Downtown,2403
2501,37,12,19,34,128,1149000,1227,2,1,1,21.0,Downtown,2501
2817,36,4,66,38,50,849000,749,2,1,1,9.8,Downtown,2817
2894,38,6,45,36,44,999000,831,2,1,1,11.0,Downtown,2894
2896,43,8,26,33,46,935000,781,2,1,1,8.0,Downtown,2896
2993,48,2,50,50,18,780000,780,2,1,1,18.0,North York,2993
