,index,condo_price,maint_fee,avg_income_household_yr,avg_income_individual_yr,total_sqft,price_per_sqft,toronto_region,bedrooms,bath,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_grocery_stores,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Asian_language,speak_Africa_language,speak_middleEast_language,edu_no_diploma,edu_high_school,edu_trade_cert,edu_coll_or_univ_cert,edu_ba_or_msc_cert,population_0_14_years,population_15_19_years,population_20_34_years,population_35_49_years,population_50_64_years,population_65_and_more,tenancy_property_type_owned,tenancy_property_type_rented,tenancy_property_type_detached,tenancy_property_type_semi_detached,tenancy_property_type_duplex,tenancy_property_type_low_rise,tenancy_property_type_high_rise,household_compo_singlefamily,household_compo_multifamily,household_compo_singleperson,household_compo_multiperson,latitude,longitude,bedrooms_plus_field,cluster_nbr,criminal_records
0,0,980000,647.31,125204,64764,749,1313,Downtown,2,2,1,1.0,26,21,2,5,93,56,9,16,0,5,3,11,3,16,65,3,1,64,20,8,4,57,43,0,0,0,1,98,29,0,59,12,43.64594089,-79.39205399,0,5,166
1,1,699800,657.88,67850,29821,860,813,North York,2,2,2,7.0,47,45,0,1,50,24,0,38,0,12,10,21,5,21,43,16,5,36,21,14,8,28,72,5,0,0,0,92,61,2,27,10,43.77394357,-79.34524627,0,3,30
2,2,960000,832.53,142425,63489,904,1061,Downtown,2,2,1,10.0,41,19,0,8,92,75,6,3,0,3,3,16,1,15,62,5,4,47,17,13,13,30,69,0,0,0,3,96,33,0,54,12,43.66947229,-79.38748773,1,2,26
3,3,698800,344.65,108578,60024,635,1099,Downtown,1,1,1,5.0,30,28,1,6,93,75,9,4,0,2,8,17,2,22,50,6,2,44,28,13,7,59,41,1,1,2,15,76,35,1,56,9,43.64510795,-79.40278957,0,0,134
4,4,389900,569.67,62102,27414,849,460,Etobicoke,2,1,1,50.0,31,62,1,0,12,33,3,20,26,0,30,31,5,18,16,23,8,21,19,17,12,39,60,6,0,1,0,90,66,4,23,7,43.69578505,-79.55315475,0,1,38
5,5,599900,700.2,108091,52825,819,732,Etobicoke,1,2,1,32.0,27,66,0,7,58,50,20,2,0,0,9,20,4,27,42,10,3,29,23,22,13,57,42,3,1,1,17,67,49,1,45,5,43.62016983,-79.48336107,0,4,18
6,6,699900,463.69,94866,47457,624,1120,North York,1,1,1,15.0,50,40,1,7,92,21,4,42,0,21,5,16,2,14,61,10,4,41,23,14,9,56,44,5,0,0,9,82,49,1,41,9,43.76013443,-79.4088679,1,3,18
7,7,999900,376.99,76261,35158,1265,790,Etobicoke,3,3,1,5.0,26,64,0,5,89,58,22,1,0,0,23,23,11,21,19,14,5,19,23,21,17,47,52,31,2,5,10,37,60,2,31,6,43.61047485,-79.55191861,0,1,14
8,8,799000,649.68,108006,55689,817,977,Downtown,2,2,1,12.0,30,23,0,4,96,69,9,8,0,1,7,17,2,18,53,7,2,38,25,17,10,52,48,0,0,0,10,87,37,0,56,7,43.65232124,-79.37181891,0,0,122
9,9,720000,809.0,55876,23080,1180,610,Etobicoke,3,2,3,42.0,31,66,0,2,12,34,2,14,0,12,25,34,5,15,22,22,8,22,22,16,10,44,55,5,0,2,0,84,78,6,11,5,43.7477322,-79.57966798,0,1,32
10,10,986000,442.0,117862,53145,788,1250,Midtown | Central,1,2,1,3.0,53,34,2,4,94,67,8,6,0,5,7,15,3,22,52,8,3,34,23,16,17,27,73,3,3,1,10,82,38,0,56,6,43.707523,-79.392402,1,6,12
11,11,699900,478.95,123201,63308,602,1161,Etobicoke,1,1,1,6.0,26,70,1,8,55,50,20,2,0,0,8,19,4,28,42,8,2,33,24,20,13,69,31,1,0,0,7,87,45,0,50,5,43.62237381,-79.48252584,1,4,18
12,12,859900,734.47,98020,49959,760,1130,Downtown,2,2,1,12.0,27,16,3,7,90,60,5,17,0,4,6,14,3,18,57,3,2,61,17,9,6,41,59,0,0,0,1,98,28,0,59,13,43.64887901,-79.38804434,0,5,118
13,13,3498000,1800.0,210870,81739,2161,1618,West End,3,4,2,7.0,35,53,1,5,90,76,11,0,0,1,10,19,2,15,53,15,4,23,21,22,15,66,34,41,1,2,22,33,63,0,34,3,43.6487175,-79.4861836,0,1,4
14,14,699000,421.24,62129,29294,573,1218,Downtown,1,1,1,1.0,46,29,1,8,91,0,0,0,0,0,19,28,5,17,29,14,6,32,23,17,7,22,78,1,2,2,17,67,47,1,44,8,43.6606455,-79.359187,1,1,108
15,15,758000,706.2,121492,53956,715,1060,Etobicoke,2,2,1,11.0,20,72,2,7,68,66,17,3,0,2,26,18,4,21,27,12,4,31,24,19,9,71,29,18,3,2,19,44,53,2,39,6,43.62394171,-79.4884467,0,4,16
16,16,638000,694.86,108266,54958,686,930,Etobicoke,1,1,1,10.0,26,69,1,7,60,57,20,2,0,0,9,19,4,27,40,10,3,29,23,22,14,62,38,2,1,0,14,72,49,1,46,5,43.6214794,-79.483972,1,4,18
17,17,859000,650.55,137681,71016,870,987,Etobicoke,2,2,1,3.0,24,73,1,7,55,58,15,6,0,2,7,18,4,27,43,7,2,39,24,17,10,76,24,0,0,0,2,94,42,0,53,5,43.62322126,-79.48393449,1,4,16
18,18,899000,636.04,98637,51032,837,1073,Downtown,2,2,1,6.0,39,34,1,4,95,56,8,18,0,5,5,15,2,16,61,7,2,59,20,9,4,52,48,0,0,0,1,98,35,0,51,13,43.63835992,-79.39865695,0,5,90
19,19,549900,876.4,87326,47338,849,649,North York,1,1,1,12.0,40,55,2,3,32,37,3,29,0,13,6,16,4,20,54,9,3,29,25,16,19,59,41,2,1,0,4,89,51,0,45,4,43.76691238,-79.38209728,0,3,4
20,20,788000,396.92,101814,51665,571,1378,Downtown,1,1,1,1.0,37,33,1,5,94,62,12,10,0,3,4,14,2,17,61,7,2,58,20,9,4,49,51,0,0,0,0,99,36,0,51,13,43.63750582,-79.39940431,1,5,76
21,21,550000,323.44,55618,23708,569,965,Scarborough,1,1,1,7.6,27,63,1,2,71,33,1,51,0,2,17,25,4,26,27,13,4,37,21,16,9,71,29,3,1,2,1,90,54,3,36,8,43.777872,-79.280751,0,3,26
22,22,663800,427.51,63382,32080,605,1097,Downtown,1,1,1,11.0,52,17,1,11,88,65,9,8,0,2,10,23,4,22,41,10,3,33,24,19,11,15,85,0,0,0,10,88,37,1,51,12,43.66798483,-79.37557622,1,6,66
23,23,809900,254.16,77026,31725,1004,806,Etobicoke,2,2,1,10.0,41,53,0,2,2,48,14,11,0,3,24,28,5,22,22,17,5,22,18,18,20,42,57,14,5,2,0,68,61,3,30,5,43.67626289,-79.56574873,0,1,22
24,24,597900,750.0,54556,26101,983,608,Scarborough,2,1,1,45.0,41,54,0,5,49,63,0,13,1,5,20,34,6,22,16,23,9,21,21,19,9,34,65,6,1,4,6,60,68,3,25,3,43.76673356,-79.19619216,0,1,42
25,25,590000,704.91,50067,24449,1299,457,Scarborough,3,2,1,44.0,34,61,0,0,19,53,0,31,0,2,17,34,7,23,17,21,7,29,18,17,8,35,65,3,0,0,17,78,63,2,26,9,43.78721966,-79.19467698,0,1,12
26,26,1059900,374.05,75896,32230,1299,820,West End,2,3,1,13.7,49,39,1,11,88,42,11,21,0,0,22,24,5,17,31,15,6,24,24,24,7,72,27,4,12,5,35,0,62,4,26,8,43.6740305,-79.4673736,1,1,44
27,27,749000,923.8,58225,25170,1145,654,Scarborough,2,1,1,32.0,25,71,0,2,14,26,0,66,0,1,25,30,5,20,22,15,5,18,18,22,22,82,18,14,1,1,0,79,71,6,19,3,43.8235146,-79.2758582,1,1,4
28,28,799000,367.51,89687,42092,574,1390,Downtown,1,1,1,3.0,37,17,2,13,85,55,12,14,0,0,6,20,3,18,51,4,3,42,20,19,11,30,70,0,0,0,8,89,28,0,58,13,43.662842,-79.3795501,1,2,86
29,29,799999,367.26,88035,37497,1299,619,Etobicoke,2,3,1,7.0,31,56,0,0,48,64,13,5,0,1,17,26,8,24,22,13,4,28,22,21,12,54,45,39,3,5,38,11,60,2,32,6,43.60153403,-79.52535037,0,1,10
30,30,599000,427.69,95486,42857,524,1141,Downtown,1,1,1,1.0,34,19,3,5,92,63,10,8,0,1,8,22,5,18,43,6,3,33,24,23,10,30,70,0,1,1,14,81,31,0,58,11,43.6574957,-79.37437121,1,6,118
31,31,589900,453.43,118306,47095,1062,555,North York,1,1,1,10.0,43,46,0,0,13,25,3,42,0,18,9,24,0,25,41,10,3,50,20,11,6,42,58,3,1,0,1,93,50,0,43,7,43.7690784,-79.3694836,0,3,12
32,32,1639000,692.62,155193,78644,975,1681,Etobicoke,2,3,1,6.0,28,68,1,7,45,61,13,6,0,0,6,18,4,30,42,6,1,27,23,24,19,77,23,0,0,0,0,99,43,0,53,3,43.62494912,-79.47824382,0,4,12
33,33,719900,916.0,87982,38852,1189,605,North York,2,2,1,43.0,33,61,0,4,28,37,2,25,0,13,14,22,4,25,35,8,3,12,14,18,45,77,22,3,1,0,1,90,56,2,39,3,43.79256097,-79.35207475,1,1,8
34,34,1680000,969.05,131316,61086,1046,1606,Downtown,2,3,1,5.0,42,18,1,8,91,45,5,25,0,4,3,16,2,16,62,6,3,45,19,13,14,29,71,0,0,0,3,96,35,0,55,10,43.67008451,-79.38640055,1,2,32
