MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
W5553225,600.9976,72426,749,1,10.0,31,59,0,21,46,46,0,41,6,14,22,3,58,0,0.0,0.0,0.0,0.0
E5579701,704.91,50067,1299,1,44.0,34,61,0,19,53,0,0,17,7,23,18,0,17,1,0.0,0.0,0.0,0.0
C5596398,400.0,73625,1299,2,29.8,41,50,0,40,34,4,0,13,4,21,21,6,6,1,0.0,0.0,0.0,0.0
C5591377,710.01,99562,749,1,19.0,48,43,2,91,34,10,0,3,1,15,26,0,14,0,0.0,0.0,0.0,0.0
C5581267,744.68,93401,694,1,6.0,27,17,1,93,52,4,0,14,2,16,18,0,10,0,0.0,0.0,0.0,0.0
C5505866,2664.0,314607,2250,1,0.5,26,57,1,57,85,3,0,8,0,10,22,5,17,0,0.0,0.0,0.0,1.0
C5581534,644.3,106122,975,1,22.0,35,27,0,95,69,9,0,5,3,23,28,0,6,0,0.0,0.0,0.0,0.0
C5593877,1014.0,179318,1185,1,1.0,38,23,1,92,65,8,0,4,2,15,17,1,2,1,0.0,0.0,0.0,0.0
E5605887,366.82,75566,595,1,2.0,33,59,0,63,50,5,0,24,10,17,20,0,5,0,0.0,0.0,0.0,0.0
C5596879,445.89,70444,749,1,20.0,50,44,2,94,19,2,0,6,1,18,21,0,2,1,0.0,0.0,0.0,0.0
C5576349,795.94,115254,1034,1,31.0,28,17,2,94,58,6,0,2,3,15,19,0,1,2,0.0,0.0,0.0,0.0
C5607255,629.03,98020,750,1,5.0,27,16,3,91,60,5,0,6,3,18,17,0,1,0,0.0,0.0,0.0,0.0
C5597859,389.98,76382,522,1,3.0,35,18,0,94,63,9,0,10,4,26,25,0,8,0,0.0,0.0,0.0,0.0
W5563876,501.25,64941,803,1,18.0,37,57,1,26,60,22,0,35,5,16,21,8,30,0,0.0,0.0,0.0,0.0
W5594434,577.44,100748,686,1,11.0,38,52,0,3,55,18,0,9,6,20,21,0,20,1,0.0,0.0,0.0,0.0
C5585600,2349.76,187941,1500,1,36.1,50,35,2,44,70,8,0,7,2,16,15,1,19,0,0.0,0.0,0.0,1.0
W5580950,337.59,155193,462,1,3.0,28,68,1,47,61,13,0,6,4,30,23,0,0,0,0.0,0.0,1.0,0.0
C5562884,589.53,101548,861,1,5.0,54,34,0,98,53,15,0,7,3,21,23,1,9,0,0.0,0.0,0.0,1.0
E5553604,873.18,123344,1077,1,15.0,50,32,0,98,80,6,0,15,3,18,31,7,33,1,1.0,0.0,0.0,0.0
W5581195,426.6,131093,749,1,2.5,19,74,2,68,58,15,0,22,4,20,25,2,10,0,0.0,0.0,1.0,0.0
C5600680,358.58,92338,555,1,1.0,34,19,2,95,66,7,0,7,4,20,25,1,13,1,0.0,0.0,0.0,0.0
C5576240,870.83,79748,1026,1,13.0,46,44,1,96,18,5,0,5,1,18,21,0,2,1,0.0,0.0,0.0,0.0
C5598175,659.5,200745,606,1,4.0,40,50,0,35,71,3,0,12,1,21,20,0,28,1,0.0,0.0,0.0,1.0
E5592342,659.3,49790,949,1,49.0,61,30,0,53,32,0,0,14,5,17,24,0,2,0,0.0,1.0,0.0,0.0
W5564617,408.7,93733,649,1,0.5,45,42,1,93,57,30,0,28,4,15,22,19,40,0,0.0,0.0,0.0,0.0
W5600842,1254.7,155603,1439,2,18.0,27,69,0,28,61,13,0,6,4,30,23,0,0,1,0.0,0.0,1.0,0.0
C5602801,200.0,116268,1299,1,35.0,33,25,3,82,68,8,0,14,3,17,23,3,36,1,0.0,0.0,0.0,0.0
C5579517,937.36,116829,901,1,18.0,26,24,1,94,67,7,0,2,3,16,21,0,1,0,0.0,0.0,0.0,0.0
C5595828,633.79,65893,921,1,33.0,55,39,2,94,25,10,0,8,2,18,20,0,2,1,0.0,0.0,0.0,0.0
E5597605,526.45,58559,694,1,4.0,38,57,1,54,20,1,0,18,3,23,18,0,2,0,0.0,0.0,0.0,0.0
C5575189,524.08,107907,710,1,1.0,27,19,1,90,56,9,0,10,2,17,19,0,4,1,0.0,0.0,0.0,0.0
C5606178,531.29,82794,462,1,27.0,28,20,3,82,33,1,0,4,2,11,16,0,1,0,0.0,0.0,0.0,0.0
C5576653,450.53,121543,598,1,5.0,30,30,1,96,75,9,0,5,2,21,27,0,7,0,0.0,0.0,0.0,0.0
W5561362,1093.62,149877,1200,2,9.0,26,71,1,43,56,16,0,6,4,28,25,0,0,1,0.0,0.0,1.0,0.0
C5590012,533.23,105764,875,1,9.0,42,53,1,34,40,25,0,18,6,19,21,1,13,0,0.0,0.0,0.0,0.0
W5544401,357.0,155193,649,1,8.0,28,68,1,45,61,13,0,6,4,30,23,0,0,0,0.0,0.0,1.0,0.0
