,index,street,toronto_region
0,0,4708 - 125 Blue Jays Way,Downtown
1,1,1103 - 62 Forest Manor Rd,North York
2,2,2008 - 35 Balmuto St,Downtown
3,3,1111 - 111 Bathurst St,Downtown
4,4,2502 330 Dixon Rd,Etobicoke
5,5,323 - 2261 Lake Shore Blvd,Etobicoke
6,6,2015 - 31 Bales Ave,North York
7,7,18 - 636 Evans Ave,Etobicoke
8,8,N305 - 116 George St,Downtown
9,9,40 Panorama  Crt,Etobicoke
10,10,3311 - 125 Redpath Ave,Midtown | Central
11,11,3310 - 2212 Lake Shore Blvd W,Etobicoke
12,12,302 - 21 Nelson St,Downtown
13,13,PH-ONE - 1 Old Mill Dr,West End
14,14,905 E - 34 Tubman Ave,Downtown
15,15,1403 - 155 Legion Rd,Etobicoke
16,16,2001 - 15 Legion Rd,Etobicoke
17,17,528 - 10 Park Lawn Rd,Etobicoke
18,18,1515 - 75 Queens Wharf Rd,Downtown
19,19,401 - 15 Rean Dr,North York
20,20,3008 - 19 Bathurst St,Downtown
21,21,2526 - 135 Village Green Sq,Scarborough
22,22,601 - 500 Sherbourne St,Downtown
23,23,216 - 25 Richgrove Dr,Etobicoke
24,24,301 - 207 Galloway Rd,Scarborough
25,25,2077 - 100 Mornelle Crt,Scarborough
26,26,77 Brickworks Lane,West End
27,27,901 - 330 Alton Tower Circ,Scarborough
28,28,2008 - 85 Wood St,Downtown
29,29,21 - 120 Twenty Fourth St,Etobicoke
30,30,4106 - 251 Jarvis St,Downtown
31,31,716 - 19 Singer Crt,North York
32,32,59 Annie Craig Dr,Etobicoke
33,33,301 - 1555 Finch Ave E,North York
34,34,5001 - 1 Bloor St E,Downtown
35,35,311 - 21 Hillcrest Ave,North York
36,36,1614 - 155 Yorkville Ave,Downtown
37,37,3013 - 50 Charles St E,Downtown
38,38,2602 - 361 Front St West St,Downtown
39,39,13 - 13 Eaton Park Lane N,Scarborough
40,40,536 - 22 Leader Lane,Downtown
41,41,908 - 1 De Boers  Dr,North York
42,42,1005 - 65 Harbour Sq,Downtown
43,43,1601 - 5162 Yonge St,North York
44,44,301 - 50 Ordnance St,Downtown
45,45,3206 - 2 Anndale Dr,North York
46,46,TH11 - 25 Singer Crt,North York
47,47,2309 - 397 Front St W,Downtown
48,48,1909 - 28 Wellesley St E,Downtown
49,49,992 Dovercourt Rd,West End
50,50,1001 - 2088 Lawrence Ave W,York Crosstown
51,51,127 - 1131 Sandhurst Circ,Scarborough
52,52,3612 - 14 York St,Downtown
53,53,102 - 151 L'amoreaux Dr,Scarborough
54,54,319 - 711 Bay St,Downtown
55,55,906 - 38 Stewart St,Downtown
56,56,1106 - 8 Pemberton Ave,North York
57,57,124 - 255 Richmond St E,Downtown
58,58,1802 - 55 Bamburgh Circ,Scarborough
59,59,2111 - 50 Forest Manor Rd,North York
60,60,30 Baseball Pl,East End
61,61,801 - 725 Don Mills Rd,North York
62,62,439 - 550 Front St W,Downtown
63,63,615 - 377 Madison Ave,Midtown | Central
64,64,PH929 - 120 Dallimore Circ,North York
65,65,704 - 2269 Lake Shore Blvd,Etobicoke
66,66,1306 - 105 The Queensway,West End
67,67,PH5 - 115 Antibes Dr,North York
68,68,1025 - 3047 Finch Ave W,North York
69,69,2611 - 2 Sonic Way,North York
70,70,2701 - 330 Richmond St W,Downtown
71,71,612 - 1 Rowntree Rd,Etobicoke
72,72,310 - 5793 Yonge St,North York
73,73,1517 - 40 Homewood Ave,Downtown
74,74,1611 - 11 Brunel Crt,Downtown
75,75,1807 - 3390 Weston Rd,North York
76,76,4508 - 251 Jarvis St,Downtown
77,77,1902 - 30 Greenfield Ave,North York
78,78,204 - 88 Charles St E,Downtown
79,79,#307 - 251 Manitoba St,Etobicoke
80,80,1608 - 330 Dixon Rd,Etobicoke
81,81,313 - 31 Four Winds Dr,North York
82,82,508 - 3091 Dufferin St,North York
83,83,1301 - 70 Forest Manor Rd,North York
84,84,222 - 380 Hopewell Ave,York Crosstown
85,85,1002 - 121 Trudelle St,Scarborough
86,86,706 - 65 Huntingdale Blvd,Scarborough
87,87,406 - 8 Mondeo Dr,Scarborough
88,88,1517 - 155 Yorkville Ave,Downtown
89,89,1019 - 155 Yorkville Ave,Downtown
90,90,2803 - 219 Fort York Blvd,Downtown
91,91,34 Henbury Pl,Scarborough
92,92,213 George St,Downtown
93,93,217 - 28 William Carson Cres,North York
94,94,1805 - 714 The West Mall,Etobicoke
95,95,815 - 88 Grandview Way,North York
